incident_id,vessel_mmsi,vessel_name,vessel_type,signal_type,signal_date_utc,lat,lon,sar_confidence,gap_hours,gap_start_utc,gap_end_utc,details
INC-2024-11-18,414270000,Yi Peng 3,cargo,ais_dark_approach,2024-11-17T12:00:00Z,55.1,15.8,,,,,First AIS appearance near the corridor with no prior Baltic track
INC-2024-11-18,538006203,Amax Avenue,tanker,ais_dark_approach,2024-11-10T06:00:00Z,54.4309,12.176,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,538003460,Magic Star,tanker,ais_dark_approach,2024-11-11T07:00:00Z,55.6932,15.7005,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,314990000,Arabela,tanker,ais_dark_approach,2024-11-12T08:00:00Z,54.4042,12.0851,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,538010351,Christina,cargo,ais_dark_approach,2024-11-13T09:00:00Z,56.9386,12.0345,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,636023569,Antiochia Ka,tanker,ais_dark_approach,2024-11-14T10:00:00Z,55.7569,16.1223,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,250002286,Arklow Field,cargo,ais_dark_approach,2024-11-15T11:00:00Z,54.7533,12.891,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,246467000,Fairpartner,cargo,ais_dark_approach,2024-11-16T12:00:00Z,56.8178,12.0596,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,352003222,Neve,tanker,ais_dark_approach,2024-11-17T13:00:00Z,54.4043,12.1014,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,373563000,Supernova  B,cargo,ais_dark_approach,2024-11-18T14:00:00Z,54.8242,12.8559,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,314828000,Snp Galaxy,cargo,ais_dark_approach,2024-11-10T15:00:00Z,55.8376,15.9094,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,636021058,Eco Wildfire,cargo,ais_dark_approach,2024-11-11T16:00:00Z,56.9603,12.0218,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,352003495,Kai Rui,cargo,ais_dark_approach,2024-11-12T17:00:00Z,56.9313,12.0385,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,538009052,Ssi Dauntless,cargo,ais_dark_approach,2024-11-13T06:00:00Z,56.3792,12.0922,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,477826400,Far Eastern Jupiter,cargo,ais_dark_approach,2024-11-14T07:00:00Z,55.8389,15.8317,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,636021532,Buffalo,cargo,ais_dark_approach,2024-11-15T08:00:00Z,55.37,14.607,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,212856000,Alma,cargo,ais_dark_approach,2024-11-16T09:00:00Z,55.6845,16.15,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,352980787,Baron I,tanker,ais_dark_approach,2024-11-17T10:00:00Z,56.3427,12.1463,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,218055220,Ute Braren,cargo,ais_dark_approach,2024-11-18T11:00:00Z,55.8022,15.6934,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,538005262,Asturcon,cargo,ais_dark_approach,2024-11-10T12:00:00Z,56.1945,12.3738,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,636022416,Lc Porthos,cargo,ais_dark_approach,2024-11-11T13:00:00Z,55.7672,16.1757,,,,,No prior track in coverage before first incident-area ping
INC-2024-11-18,232052663,African Dragon,cargo,ais_dark_approach,2024-11-12T14:00:00Z,55.7628,16.1052,,,,,No prior track in coverage before first incident-area ping
