mmsi,reason,span_km,ping_count,name,type
227336250,stationary,0.006,2,Yomanaya,other
227564750,stationary,0.013,70,Filia Maris,pleasure
227923930,stationary,0.062,4,Speed Of Hope,other
228314700,stationary,0.008,4,Sy Cocoon,other
229000312,stationary,0.103,6,Cy Bishop'S Horizon,pleasure
230067500,stationary,0.002,2,MMSI 230067500,other
230110670,stationary,0.006,4,Seili,other
230110890,stationary,0.001,2,MMSI 230110890,other
230131090,stationary,0.002,2,MMSI 230131090,other
230167500,stationary,0.02,2,Finke,other
230168060,stationary,0.128,2,MMSI 230168060,other
230175990,stationary,0.111,2,MMSI 230175990,other
230180000,stationary,0.001,2,Rosella,other
230182000,stationary,0.001,2,MMSI 230182000,other
230914000,stationary,0.055,2,MMSI 230914000,other
230938660,stationary,0.001,2,MMSI 230938660,other
230980000,stationary,0.022,6,Uto,other
231167000,stationary,0.003,2,Bordoyarnes,other
231891090,stationary,0.019,2,Mars,other
232019796,stationary,0.003,2,MMSI 232019796,other
232025425,stationary,0.003,2,Hawila,other
232036491,stationary,0.001,2,The Wee Hours,pleasure
232039717,stationary,0.046,4,MMSI 232039717,other
232039987,stationary,0.0,2,Distant Dreams,other
232042786,stationary,0.006,6,Leia,other
232043126,stationary,0.091,2,Triumph,pleasure
232045695,stationary,0.036,6,Goelo Worker,other
232051856,stationary,0.013,6,MMSI 232051856,other
232055115,stationary,0.002,2,MMSI 232055115,other
232055130,stationary,0.008,2,Sofd Tender Boat 8,other
232058502,stationary,0.002,2,Ventura,other
232058572,stationary,0.002,2,Sunshot,other
232063802,stationary,0.056,2,MMSI 232063802,other
232065093,stationary,0.008,6,Campina,other
232065651,stationary,0.008,44,Abel-J,other
232332952,stationary,0.001,2,Cgvance,other
233333333,stationary,0.037,14,MMSI 233333333,other
235020603,stationary,0.003,4,Amalia,other
235021614,stationary,0.006,2,Sapphire,other
235081131,stationary,0.001,2,MMSI 235081131,other
235090535,stationary,0.002,2,Timberlend,other
235104946,stationary,0.002,2,Abracadabra,pleasure
235106228,stationary,0.006,8,Megans Dream,other
237661300,stationary,0.001,2,Arion,other
238634740,stationary,0.0,2,Lady S,other
240900344,stationary,0.016,2,240900344,other
244000628,stationary,0.006,2,Anna-Roza,other
244001262,stationary,0.006,2,Meraki,other
244002944,stationary,0.0,2,MMSI 244002944,other
244022244,stationary,0.0,2,Bandit,pleasure
244060412,stationary,0.0,2,MMSI 244060412,other
244060997,stationary,0.026,58,Cor. 13:13,other
244084297,stationary,0.001,2,MMSI 244084297,other
244110512,stationary,0.011,2,MMSI 244110512,other
244129543,stationary,0.002,2,MMSI 244129543,other
244130028,stationary,0.003,2,MMSI 244130028,other
244150272,stationary,0.002,4,Boogschutter,other
244150808,stationary,0.027,4,MMSI 244150808,other
244153622,stationary,0.019,6,Hamburg V,other
244180784,stationary,0.045,2,Grafelingh,other
244190077,stationary,0.003,2,MMSI 244190077,pleasure
244250627,stationary,0.001,2,MMSI 244250627,pleasure
244290158,stationary,0.0,2,Alcyon,other
244316264,stationary,0.008,2,Wending,other
244371698,stationary,0.005,106,Hercules,other
244375515,stationary,0.04,2,MMSI 244375515,other
244394136,stationary,0.129,2,MMSI 244394136,other
244521830,stationary,0.014,4,Snyffl,other
244615717,stationary,0.001,2,Ijsseloord,other
244620328,stationary,0.0,2,MMSI 244620328,other
244620891,stationary,0.006,4,MMSI 244620891,other
244630733,stationary,0.0,2,MMSI 244630733,other
244650035,stationary,0.003,4,Fidato,other
244660427,stationary,0.006,2,MMSI 244660427,other
244660693,stationary,0.0,2,MMSI 244660693,other
244660804,stationary,0.007,2,MMSI 244660804,other
244660963,stationary,0.003,4,Iduna,other
244661000,stationary,0.001,2,Rt Emotion,other
244670015,stationary,0.0,2,MMSI 244670015,other
244670140,stationary,0.01,2,MMSI 244670140,other
244670268,stationary,0.004,4,Wantij,other
244670547,stationary,0.001,2,MMSI 244670547,other
244670581,stationary,0.0,2,MMSI 244670581,other
244670742,stationary,0.004,2,MMSI 244670742,other
244670772,stationary,0.003,2,MMSI 244670772,other
244670835,stationary,0.002,2,MMSI 244670835,other
244670877,stationary,0.012,2,Afhankelijk,other
244690032,stationary,0.0,2,MMSI 244690032,other
244690195,stationary,0.022,4,Riva Jolie,other
244690665,stationary,0.002,4,MMSI 244690665,other
244690840,stationary,0.003,2,MMSI 244690840,other
244690874,stationary,0.007,4,Jachthoorn,other
244690908,stationary,0.003,2,MMSI 244690908,other
244700065,stationary,0.001,2,MMSI 244700065,other
244700293,stationary,0.116,4,Henja,other
244700530,stationary,0.002,2,MMSI 244700530,other
244700660,stationary,0.003,2,Red Fox,cargo
244710210,stationary,0.014,4,Denzo,other
244710266,stationary,0.125,2,MMSI 244710266,other
244710395,stationary,0.002,2,MMSI 244710395,other
244710431,stationary,0.006,2,MMSI 244710431,other
244710492,stationary,0.002,2,MMSI 244710492,other
244730300,stationary,0.002,2,MMSI 244730300,other
244730309,stationary,0.001,2,Drakar,other
244730903,stationary,0.003,2,Seolto,wing_in_ground
244730970,stationary,0.003,2,MMSI 244730970,other
244740327,stationary,0.003,4,MMSI 244740327,other
244740893,stationary,0.003,4,MMSI 244740893,other
244750025,stationary,0.002,2,MMSI 244750025,other
244750413,stationary,0.004,2,Imago,other
244750529,stationary,0.001,2,MMSI 244750529,other
244780097,stationary,0.027,214,MMSI 244780097,other
244820121,stationary,0.009,2,Adagio,other
244830359,stationary,0.002,2,Zuiderling,other
245688036,stationary,0.002,2,MMSI 245688036,other
245796000,stationary,0.002,4,Vm49,other
246018000,stationary,0.0,2,Wisby Wave,other
246759000,stationary,0.001,2,Waterstroom,other
247286800,stationary,0.003,2,Royal,cargo
249000642,stationary,0.009,116,Marie Sofie,pleasure
249462000,stationary,0.101,2,MMSI 249462000,other
250400006,stationary,0.009,2,Net-94%,other
250500007,stationary,0.035,6,250500007,other
251200008,stationary,0.033,10,Net-99%,other
251848840,stationary,0.004,10,Mona,other
255639120,stationary,0.006,4,Vastvag Vg92,other
255805619,stationary,0.0,2,Ludolf Oldendorff,other
255915830,stationary,0.194,6,MMSI 255915830,other
256000000,stationary,0.007,2,MMSI 256000000,other
256749512,stationary,0.012,120,Argus,other
257005283,stationary,0.001,2,MMSI 257005283,tanker
257005337,stationary,0.001,2,MMSI 257005337,other
257005647,stationary,0.002,2,MMSI 257005647,other
257005674,stationary,0.068,642,Cmosim,other
257005675,stationary,0.006,2,MMSI 257005675,tanker
257005691,stationary,0.001,2,MMSI 257005691,tanker
257006099,stationary,0.068,70,MMSI 257006099,other
257006980,stationary,0.001,2,MMSI 257006980,other
257009890,stationary,0.0,2,MMSI 257009890,fishing
257011110,stationary,0.004,4,MMSI 257011110,other
257014800,stationary,0.004,2,Solbris Taxibaat,other
257021790,stationary,0.0,2,Aurora,other
257022060,stationary,0.133,2,MMSI 257022060,other
257022590,stationary,0.081,14,MMSI 257022590,other
257028050,stationary,0.003,8,Karen Margrethe,fishing
257033680,stationary,0.01,2,MMSI 257033680,other
257037920,stationary,0.06,38,MMSI 257037920,other
257041130,stationary,0.018,2,Main,pleasure
257041630,stationary,0.078,8,Freedom Ii,other
257042620,stationary,0.0,2,MMSI 257042620,other
257042760,stationary,0.008,4,Kompis,other
257043060,stationary,0.0,2,MMSI 257043060,pleasure
257043390,stationary,0.005,4,Sandra Iii,pleasure
257045260,stationary,0.011,2,Artemis,other
257047260,stationary,0.003,4,Esperance 2,pleasure
257055250,stationary,0.0,2,Charlie,other
257056570,stationary,0.006,4,Freinik Bal,other
257061500,stationary,0.016,18,Losiana,other
257062600,stationary,0.006,4,MMSI 257062600,other
257064520,stationary,0.0,2,Akeroe,pleasure
257064540,stationary,0.003,2,MMSI 257064540,other
257065620,stationary,0.002,8,Busen,other
257068600,stationary,0.002,2,Saga,other
257076140,stationary,0.001,2,MMSI 257076140,law_enforcement
257076240,stationary,0.012,148,Merethe,other
257080520,stationary,0.0,2,Butterflyflip,other
257081110,stationary,0.008,4,MMSI 257081110,other
257081470,stationary,0.006,2,Aurora,other
257081570,stationary,0.038,2,M/S Brimoey,other
257090090,stationary,0.004,8,Pelikan 2,other
257092660,stationary,0.009,2,MMSI 257092660,other
257093860,stationary,0.003,2,Team Krokodille,other
257094370,stationary,0.003,2,Pimi,pleasure
257098570,stationary,0.003,2,Tokani,other
257099430,stationary,0.048,6,Technotroll 2.0,pleasure
257101500,stationary,0.006,6,Rode Kors Svelvik,other
257103220,stationary,0.002,4,Soelvskjaer,other
257106500,stationary,0.002,2,M/Y Herock,other
257106820,stationary,0.176,2,Lady A,pleasure
257110540,stationary,0.006,2,Mia Bell,other
257126700,stationary,0.139,34,Kvikk Ii,other
257127100,stationary,0.008,12,Bas,other
257129920,stationary,0.007,2,Endelig,other
257132930,stationary,0.056,2,Mannesbuen,fishing
257135710,stationary,0.006,2,Malos,other
257136060,stationary,0.018,6,Dolphin02,other
257158920,stationary,0.009,12,Sonbas Senior,other
257179240,stationary,0.0,2,MMSI 257179240,fishing
257199320,stationary,0.002,4,Juventus,other
257240700,stationary,0.004,6,MMSI 257240700,other
257246020,stationary,0.008,2,Haabet,other
257296900,stationary,0.004,6,Belle Royal,other
257305740,stationary,0.005,10,Sunshine,other
257305800,stationary,0.016,12,Royal Viking,other
257308740,stationary,0.003,2,MMSI 257308740,other
257338700,stationary,0.002,4,Fyroy,other
257392400,stationary,0.001,2,MMSI 257392400,other
257432110,stationary,0.194,74,Hargun,fishing
257531280,stationary,0.011,10,Milestone,pleasure
257551080,stationary,0.015,2,Simetra,other
257558700,stationary,0.001,2,Vekteren,other
257558790,stationary,0.0,2,Angoline,other
257563490,stationary,0.002,2,MMSI 257563490,other
257566280,stationary,0.001,2,MMSI 257566280,other
257595270,stationary,0.006,2,Don Quixote,pleasure
257605650,stationary,0.002,2,Salacia,other
257608050,stationary,0.024,2,MMSI 257608050,other
257609150,stationary,0.001,2,Frida,other
257633450,stationary,0.002,4,Amarone,other
257636390,stationary,0.114,2,Carolina Af Askoen,other
257646990,stationary,0.002,2,Peace Of Mind Ii,other
257679610,stationary,0.0,2,Havkosen,other
257689890,stationary,0.001,2,Kuling,pleasure
257703290,stationary,0.002,2,MMSI 257703290,pleasure
257735270,stationary,0.003,2,Happy,other
257741900,stationary,0.002,4,Springeren,other
257742690,stationary,0.069,2,MMSI 257742690,pleasure
257745270,stationary,0.006,4,Lat-X,pleasure
257760600,stationary,0.002,10,MMSI 257760600,other
257772860,stationary,0.002,2,MMSI 257772860,other
257775700,stationary,0.002,2,MMSI 257775700,other
257780590,stationary,0.076,6,Bulle Ii,pleasure
257795580,stationary,0.001,2,Hermosa,pleasure
257821880,stationary,0.018,2,Anna,other
257827170,stationary,0.018,2,Ida 2,other
257828790,stationary,0.009,18,Basco,other
257831580,stationary,0.011,4,Stella Siri,other
257846000,stationary,0.001,2,Ov Utvaer,anti_pollution
257847080,stationary,0.002,2,Frida,other
257852960,stationary,0.002,2,Haaligaangen,other
257867470,stationary,0.002,4,Froeya,other
257873960,stationary,0.042,2,MMSI 257873960,other
257876950,stationary,0.003,4,Vinderla,other
257881490,stationary,0.0,2,Otilie,pleasure
257886170,stationary,0.097,4,Blia,other
257904570,stationary,0.001,2,Hildring,pleasure
257909990,stationary,0.0,2,Adele,other
257910130,stationary,0.107,2,MMSI 257910130,other
257928800,stationary,0.149,2,MMSI 257928800,other
257935390,stationary,0.0,2,MMSI 257935390,other
257956880,stationary,0.002,2,Sy Hippo,other
257972060,stationary,0.011,52,Alexis,other
257987690,stationary,0.011,32,Touch And Go,pleasure
257992670,stationary,0.005,4,Nemo,pleasure
257995950,stationary,0.002,2,MMSI 257995950,other
257998940,stationary,0.055,4,Rav,other
257999449,stationary,0.011,24,Vdes300_Skoyen,other
258005570,stationary,0.005,8,Chablis,other
258009340,stationary,0.006,2,Iv Dreams,other
258010990,stationary,0.002,2,Tomina,other
258011750,stationary,0.0,2,Nulte Iii,other
258012160,stationary,0.004,4,MMSI 258012160,other
258017270,stationary,0.0,2,Hringhorni,other
258025390,stationary,0.0,2,So What,other
258027060,stationary,0.015,2,Pgs Wb358 Pandora,other
258030170,stationary,0.006,4,Lysglimt,other
258031230,stationary,0.004,4,S/Y Fomle,other
258033710,stationary,0.003,22,Amazing Grey,other
258056720,stationary,0.004,6,Mathilde,other
258082080,stationary,0.008,2,Leviro,other
258091550,stationary,0.002,2,Line,other
258093470,stationary,0.008,2,MMSI 258093470,other
258102500,stationary,0.001,2,Bork,other
258105690,stationary,0.001,2,Linus Oxo,pleasure
258112090,stationary,0.057,4,Windsong Iii,pleasure
258112270,stationary,0.003,2,MMSI 258112270,other
258113490,stationary,0.003,6,Charmar,other
258115230,stationary,0.124,8,Ibis,other
258128330,stationary,0.001,2,Quinaya,other
258129350,stationary,0.0,8,MMSI 258129350,pleasure
258131560,stationary,0.002,4,Reina,other
258131870,stationary,0.079,22,MMSI 258131870,other
258137660,stationary,0.001,2,Vesper,other
258141570,stationary,0.003,16,MMSI 258141570,other
258146270,stationary,0.002,2,Estepona,pleasure
258149280,stationary,0.002,4,MMSI 258149280,other
258159060,stationary,0.002,2,Sirius,pleasure
258163370,stationary,0.0,2,MMSI 258163370,other
258173770,stationary,0.002,2,Barents Queen,other
258178540,stationary,0.002,2,Ellen Merete,other
258195620,stationary,0.002,4,Chrica Iii,pleasure
258206230,stationary,0.0,2,MMSI 258206230,other
258237230,stationary,0.007,2,Sjougla 2,other
258248850,stationary,0.001,2,Jumbo,pleasure
258340970,stationary,0.009,2,S/Y Anima Ventus,pleasure
258517210,stationary,0.052,2,MMSI 258517210,other
258594910,stationary,0.001,4,Esso Oljevern 1,other
258595012,stationary,0.089,2,Tender Boat 10,other
258987660,stationary,0.001,2,Eikholmen,other
258998472,stationary,0.0,2,MMSI 258998472,other
258998980,stationary,0.18,2,Emma 2,other
259000490,stationary,0.0,2,Festina Lente,other
259002830,stationary,0.183,2,MMSI 259002830,other
259007880,stationary,0.002,2,MMSI 259007880,other
259012470,stationary,0.005,2,Luna,other
259013050,stationary,0.001,2,MMSI 259013050,other
259013420,stationary,0.011,14,Viking,other
259015810,stationary,0.098,4,Voila,other
259020650,stationary,0.019,2,Delta,high_speed
259026390,stationary,0.005,44,Shuttle 0001,other
259027100,stationary,0.008,4,Basse,other
259029070,stationary,0.002,2,Valder,other
259045080,stationary,0.0,2,Quiet Life 2,other
259045460,stationary,0.0,2,Medusa,other
259049530,stationary,0.001,2,Go'Gutten,other
259050030,stationary,0.003,6,Fifty Seven,pleasure
259904001,stationary,0.078,48,MMSI 259904001,other
261000020,stationary,0.0,2,Grace,other
261000210,stationary,0.042,24,Agis,other
261000279,stationary,0.0,2,Only Love Me,pleasure
261002058,stationary,0.186,2,MMSI 261002058,other
261002390,stationary,0.002,2,MMSI 261002390,other
261002690,stationary,0.0,2,Miss Victoria,pleasure
261002743,stationary,0.001,2,Melija,other
261002783,stationary,0.075,2,Ssas,other
261004881,stationary,0.002,2,MMSI 261004881,other
261005330,stationary,0.004,2,Jas-80,other
261005700,stationary,0.083,4,Rapsodia,pleasure
261006310,stationary,0.002,2,Almak,pleasure
261006460,stationary,0.006,4,Kranich,other
261006570,stationary,0.081,30,MMSI 261006570,other
261006910,stationary,0.007,4,Jas 12,other
261006961,stationary,0.005,2,Veriblu Vento,other
261008070,stationary,0.003,8,MMSI 261008070,other
261008236,stationary,0.187,2,MMSI 261008236,other
261008893,stationary,0.003,2,MMSI 261008893,other
261010250,stationary,0.004,22,MMSI 261010250,other
261010333,stationary,0.002,8,MMSI 261010333,other
261012590,stationary,0.16,2,Ust-119,other
261013320,stationary,0.004,22,Nordykk,other
261014220,stationary,0.029,14,Kpt.Wisniewski,fishing
261014410,stationary,0.062,2,Apol Thorgal,other
261015990,stationary,0.173,2,MMSI 261015990,other
261016430,stationary,0.017,78,MMSI 261016430,other
261016980,stationary,0.018,46,MMSI 261016980,other
261021150,stationary,0.002,2,MMSI 261021150,other
261021570,stationary,0.039,2,MMSI 261021570,other
261022240,stationary,0.005,4,Sarina,other
261023670,stationary,0.007,4,Orka Hel,pleasure
261023710,stationary,0.004,18,Nie-8,other
261023810,stationary,0.0,2,MMSI 261023810,other
261023830,stationary,0.009,10,Kuz-47,other
261026860,stationary,0.002,2,S/Y Fifra,other
261027110,stationary,0.027,6,Kontroler 20,other
261031680,stationary,0.023,4,Lew,other
261031810,stationary,0.003,2,MMSI 261031810,other
261038420,stationary,0.0,2,El Gregor,pleasure
261041590,stationary,0.0,2,MMSI 261041590,other
261070560,stationary,0.03,112,Jar-23,pleasure
261080450,stationary,0.007,24,Mg One,pleasure
261182085,stationary,0.0,4,MMSI 261182085,other
261182144,stationary,0.001,2,MMSI 261182144,other
261182419,stationary,0.003,4,MMSI 261182419,other
261182515,stationary,0.001,2,MMSI 261182515,other
261182553,stationary,0.002,2,MMSI 261182553,other
261182587,stationary,0.001,2,MMSI 261182587,other
261182637,stationary,0.001,2,MMSI 261182637,other
261182647,stationary,0.008,4,Krystyna,other
261182688,stationary,0.003,2,MMSI 261182688,other
261182730,stationary,0.004,2,MMSI 261182730,other
261182740,stationary,0.0,2,Bonata,other
261182810,stationary,0.001,2,Andromeda,other
261183150,stationary,0.001,2,MMSI 261183150,other
261183450,stationary,0.005,4,MMSI 261183450,other
261183810,stationary,0.0,2,MMSI 261183810,other
261183980,stationary,0.0,4,MMSI 261183980,other
261184040,stationary,0.002,2,MMSI 261184040,other
261184390,stationary,0.008,44,MMSI 261184390,other
261185000,stationary,0.003,2,Narwal,other
261186044,stationary,0.001,2,Bm 5280,other
261186089,stationary,0.002,2,MMSI 261186089,other
261186171,stationary,0.001,2,Mizuari,other
261186363,stationary,0.008,2,Zubr,other
261186366,stationary,0.007,4,MMSI 261186366,other
261186436,stationary,0.002,2,MMSI 261186436,other
261186445,stationary,0.004,20,MMSI 261186445,other
261186446,stationary,0.026,18,MMSI 261186446,other
261186458,stationary,0.011,2,Blue Runner,other
261186750,stationary,0.011,8,MMSI 261186750,other
261187080,stationary,0.001,2,Parada,other
261187610,stationary,0.001,2,Fioretto,pleasure
261188300,stationary,0.001,2,MMSI 261188300,other
261234000,stationary,0.002,6,MMSI 261234000,other
261264000,stationary,0.007,2,Orp Sarbsko,military
261328000,stationary,0.011,2,H-8,other
261999124,stationary,0.009,22,Po 24,other
265001880,stationary,0.01,4,Salle Iv,other
265005410,stationary,0.009,18,Vision,pleasure
265009040,stationary,0.012,98,Mickan,pleasure
265010220,stationary,0.016,12,Miss Satisfied,pleasure
265012440,stationary,0.002,2,Penta 85,other
265016720,stationary,0.004,4,Barta,other
265016930,stationary,0.004,2,MMSI 265016930,other
265018020,stationary,0.175,16,I Wonder,pleasure
265020640,stationary,0.001,2,Blue Swan,other
265021030,stationary,0.012,2,Penta 85,other
265024090,stationary,0.087,2,Magnum,other
265026450,stationary,0.0,2,MMSI 265026450,other
265027690,stationary,0.004,2,Medvind,other
265029560,stationary,0.002,4,Aimi,other
265032900,stationary,0.008,28,Celeste,pleasure
265033010,stationary,0.007,4,Cervisia,other
265033720,stationary,0.001,2,MMSI 265033720,other
265033860,stationary,0.003,4,Till Lyst,other
265034280,stationary,0.015,2,Harmoni,pleasure
265036100,stationary,0.112,24,Seari,other
265036890,stationary,0.002,2,Hav 2,other
265037920,stationary,0.012,2,Seaon 96,other
265040650,stationary,0.002,4,Linnea,pleasure
265044580,stationary,0.0,2,MMSI 265044580,other
265048330,stationary,0.0,2,Lago,other
265051380,stationary,0.004,4,Trollingman,pleasure
265053120,stationary,0.009,24,Live Firing Exercise,other
265053130,stationary,0.004,22,Live Firing Exercise,other
265054210,stationary,0.008,156,Live Firing Exercise,other
265054220,stationary,0.001,2,Knctest3,other
265054230,stationary,0.006,34,Live Firing Exercise,other
265058130,stationary,0.09,4,Rescue S-33,other
265059210,stationary,0.001,2,Inka,pleasure
265059850,stationary,0.001,2,MMSI 265059850,other
265060940,stationary,0.004,6,M/Y Jagaren,other
265061320,stationary,0.027,4,Peak,other
265066410,stationary,0.008,4,MMSI 265066410,other
265066920,stationary,0.001,2,MMSI 265066920,other
265067020,stationary,0.0,2,Albatross,pleasure
265067420,stationary,0.009,4,Freydis,pleasure
265069150,stationary,0.189,22,Height Restriction,other
265072224,stationary,0.006,2,Booty,other
265072240,stationary,0.017,4,Booty,other
265072401,stationary,0.0,2,MMSI 265072401,other
265073840,stationary,0.009,2,Thetis Iii,other
265074380,stationary,0.006,2,MMSI 265074380,other
265075420,stationary,0.062,8,Why Not!,other
265075540,stationary,0.002,4,Amazing,other
265075640,stationary,0.027,2,Gg800 Kingston,other
265076460,stationary,0.009,12,Strategion,other
265077220,stationary,0.051,2,Kbv 153,other
265078100,stationary,0.008,4,Lady Sabina,other
265078450,stationary,0.139,144,Vilshamn,other
265078510,stationary,0.106,242,Ann Charlotte,other
265079950,stationary,0.005,2,Greta,other
265080470,stationary,0.009,24,Calitea,other
265082350,stationary,0.008,84,Nessie,other
265082660,stationary,0.0,2,MMSI 265082660,other
265083120,stationary,0.019,4,MMSI 265083120,other
265083590,stationary,0.004,6,Arwen,other
265083900,stationary,0.006,6,Lasse Maja Iii,other
265084460,stationary,0.001,2,Stalnabb,pleasure
265111111,stationary,0.002,2,MMSI 265111111,other
265277000,stationary,0.016,222,Calmare Nyckel,other
265501120,stationary,0.009,4,M21 Saga,other
265501171,stationary,0.015,2,Hulda,other
265503900,stationary,0.003,6,MMSI 265503900,other
265505900,stationary,0.002,4,MMSI 265505900,other
265507780,stationary,0.006,4,Kraft,other
265508760,stationary,0.002,2,Gotlandia,other
265508900,stationary,0.155,2,MMSI 265508900,other
265509200,stationary,0.013,6,Kbv 483,other
265509220,stationary,0.004,2,MMSI 265509220,other
265513130,stationary,0.01,8,MMSI 265513130,other
265513280,stationary,0.0,2,Pilot 358 Se,pilot
265514770,stationary,0.006,6,MMSI 265514770,other
265519660,stationary,0.001,2,MMSI 265519660,other
265521890,stationary,0.004,2,MMSI 265521890,other
265522510,stationary,0.001,2,MMSI 265522510,other
265528850,stationary,0.004,2,S/Y Trece,other
265530460,stationary,0.001,2,MMSI 265530460,other
265532230,stationary,0.0,2,MMSI 265532230,other
265541690,stationary,0.006,48,MMSI 265541690,other
265542290,stationary,0.002,4,S/Y Marytom,other
265542460,stationary,0.003,4,Blue Pearl,pleasure
265547223,stationary,0.003,2,Rescue Varingen,other
265549190,stationary,0.0,2,MMSI 265549190,other
265549430,stationary,0.006,2,MMSI 265549430,other
265554490,stationary,0.0,2,Mirella,other
265554780,stationary,0.007,10,Windflower,other
265559691,stationary,0.021,74,MMSI 265559691,other
265561170,stationary,0.002,2,Lotta,other
265561260,stationary,0.001,2,Zina,other
265561460,stationary,0.026,1240,Athena Sa-Resource,other
265562270,stationary,0.007,2,Tyra,other
265566420,stationary,0.003,4,MMSI 265566420,other
265566860,stationary,0.017,400,Svanen West,passenger
265568280,stationary,0.002,2,Oscar,other
265572370,stationary,0.002,2,Freydis,other
265577470,stationary,0.008,2,MMSI 265577470,other
265578940,stationary,0.004,4,Wilma I,other
265579820,stationary,0.002,2,Match Too,other
265580530,stationary,0.0,2,MMSI 265580530,other
265581130,stationary,0.007,12,Kirribilli,other
265581890,stationary,0.004,6,Tripode,other
265582480,stationary,0.017,26,MMSI 265582480,other
265582750,stationary,0.07,6,MMSI 265582750,other
265585870,stationary,0.0,2,MMSI 265585870,other
265586120,stationary,0.008,160,Santana Ii,other
265587680,stationary,0.003,2,Indra,other
265590180,stationary,0.004,2,Sunnan Express,passenger
265590620,stationary,0.013,2,Svea,other
265601390,stationary,0.003,2,Harruaida,other
265603060,stationary,0.004,4,Rescue Stina Sore,other
265604530,stationary,0.002,2,MMSI 265604530,other
265606540,stationary,0.006,8,MMSI 265606540,other
265606900,stationary,0.0,2,Kurtisan,pleasure
265607520,stationary,0.05,4,Cecilia,other
265614570,stationary,0.006,2,Yessica,other
265614950,stationary,0.006,2,Cora,pleasure
265618300,stationary,0.028,22,Betty Boop,cargo
265618510,stationary,0.002,4,Luro V,other
265619100,stationary,0.006,4,Harmony,other
265619590,stationary,0.121,4,Risor,fishing
265620140,stationary,0.003,2,Mistral Avance 36,other
265623790,stationary,0.026,120,MMSI 265623790,pleasure
265627640,stationary,0.011,322,MMSI 265627640,other
265629800,stationary,0.001,2,MMSI 265629800,other
265631360,stationary,0.011,2,Piri Piri Av Lomma,pleasure
265631550,stationary,0.008,512,MMSI 265631550,other
265632150,stationary,0.004,2,MMSI 265632150,other
265636060,stationary,0.009,26,Batman 7,other
265649230,stationary,0.028,4,Alf Lundgren,other
265652310,stationary,0.003,2,Athena,other
265657250,stationary,0.003,2,Ms Diana Gustafs Tax,other
265657430,stationary,0.001,2,Daisy Arcona 400,pleasure
265657550,stationary,0.003,10,Seaterrier 1001,other
265658750,stationary,0.004,4,Fiorella,other
265659660,stationary,0.158,26,Delphi Engewiken,other
265662250,stationary,0.037,10,Flora,passenger
265665050,stationary,0.006,4,Optimist,other
265671620,stationary,0.014,2,MMSI 265671620,other
265671880,stationary,0.001,2,Luna,other
265674820,stationary,0.021,26,Bore,other
265675220,stationary,0.001,2,MMSI 265675220,other
265675870,stationary,0.006,2,Kluque,pleasure
265679000,stationary,0.01,30,Matbar,other
265683100,stationary,0.183,2,MMSI 265683100,other
265685010,stationary,0.003,4,Kajsa,pleasure
265686680,stationary,0.0,2,MMSI 265686680,other
265687960,stationary,0.003,2,Tre Kronor,fishing
265688200,stationary,0.002,2,MMSI 265688200,other
265690080,stationary,0.003,2,MMSI 265690080,other
265701900,stationary,0.007,120,MMSI 265701900,other
265702150,stationary,0.004,2,Solenne,pleasure
265704130,stationary,0.002,2,Kerstin,other
265705890,stationary,0.007,4,Gungner,pleasure
265707250,stationary,0.001,2,MMSI 265707250,other
265709030,stationary,0.044,92,MMSI 265709030,other
265711710,stationary,0.003,2,Argo,other
265713010,stationary,0.022,8,Marinwebben Test,other
265713810,stationary,0.0,2,MMSI 265713810,other
265714440,stationary,0.001,4,Pricken,tug
265714450,stationary,0.001,2,Cat Coo,other
265716410,stationary,0.014,38,El Corazon,pleasure
265719880,stationary,0.009,2,Impulsive,pleasure
265720410,stationary,0.019,4,Himinglava,other
265727500,stationary,0.002,2,MMSI 265727500,other
265730460,stationary,0.016,30,Monsun,other
265731590,stationary,0.003,8,Blasut,pleasure
265732980,stationary,0.006,16,Elvira,other
265743720,stationary,0.0,2,Sando 785,pleasure
265743800,stationary,0.016,2,MMSI 265743800,other
265745260,stationary,0.006,2,Chibidarra,pleasure
265747130,stationary,0.008,2,Alto,other
265749060,stationary,0.0,2,Alice,other
265752450,stationary,0.0,2,Mariella,other
265758600,stationary,0.003,6,MMSI 265758600,other
265759530,stationary,0.033,14,Exlex Solo,other
265759880,stationary,0.002,2,S/Y Vagskvalp,other
265760620,stationary,0.0,2,Flory,other
265761990,stationary,0.004,2,MMSI 265761990,other
265762030,stationary,0.098,2,MMSI 265762030,other
265762900,stationary,0.174,2,MMSI 265762900,other
265768610,stationary,0.083,6,Sparkling Angel,pleasure
265771720,stationary,0.004,4,Sol,other
265773120,stationary,0.174,2,Lillasyster Iii,other
265775770,stationary,0.01,2,MMSI 265775770,other
265777810,stationary,0.001,2,Kajsa,other
265777950,stationary,0.045,2,Chloe,other
265778410,stationary,0.002,2,Anna,other
265778670,stationary,0.022,70,Skjutstation Torhamn,other
265779000,stationary,0.011,12,Hovdingen,other
265779090,stationary,0.003,4,Baljan Sfb9917Storon,other
265780490,stationary,0.003,4,Magott,pleasure
265780910,stationary,0.001,2,MMSI 265780910,other
265782460,stationary,0.007,2,Team Entrecote,other
265783800,stationary,0.003,4,Nordic Soul,other
265794080,stationary,0.005,2,MMSI 265794080,other
265794530,stationary,0.004,4,Svartklubben,other
